,DATE,GASREGW
431,2018-04-09,2.694
432,2018-04-16,2.747
433,2018-04-23,2.798
434,2018-04-30,2.846
435,2018-05-07,2.845
436,2018-05-14,2.873
437,2018-05-21,2.923
438,2018-05-28,2.962
439,2018-06-04,2.94
440,2018-06-11,2.911
441,2018-06-18,2.879
442,2018-06-25,2.833
443,2018-07-02,2.844
444,2018-07-09,2.857
445,2018-07-16,2.865
446,2018-07-23,2.831
447,2018-07-30,2.846
448,2018-08-06,2.852
449,2018-08-13,2.843
450,2018-08-20,2.821
451,2018-08-27,2.827
452,2018-09-03,2.824
453,2018-09-10,2.833
454,2018-09-17,2.841
455,2018-09-24,2.844
456,2018-10-01,2.866
457,2018-10-08,2.903
458,2018-10-15,2.879
459,2018-10-22,2.841
460,2018-10-29,2.811
461,2018-11-05,2.753
462,2018-11-12,2.686
463,2018-11-19,2.611
464,2018-11-26,2.539
465,2018-12-03,2.451
466,2018-12-10,2.421
467,2018-12-17,2.369
468,2018-12-24,2.321
469,2018-12-31,2.266
470,2019-01-07,2.237
471,2019-01-14,2.247
472,2019-01-21,2.251
473,2019-01-28,2.256
474,2019-02-04,2.254
475,2019-02-11,2.276
476,2019-02-18,2.317
477,2019-02-25,2.39
478,2019-03-04,2.422
479,2019-03-11,2.471
480,2019-03-18,2.548
481,2019-03-25,2.623
482,2019-04-01,2.691
483,2019-04-08,2.745
484,2019-04-15,2.828
485,2019-04-22,2.841
486,2019-04-29,2.887
487,2019-05-06,2.897
488,2019-05-13,2.866
489,2019-05-20,2.852
490,2019-05-27,2.822
491,2019-06-03,2.807
492,2019-06-10,2.732
493,2019-06-17,2.67
494,2019-06-24,2.654
495,2019-07-01,2.713
496,2019-07-08,2.743
497,2019-07-15,2.779
498,2019-07-22,2.75
499,2019-07-29,2.715
500,2019-08-05,2.688
501,2019-08-12,2.624
502,2019-08-19,2.598
503,2019-08-26,2.574
504,2019-09-02,2.563
505,2019-09-09,2.55
506,2019-09-16,2.552
507,2019-09-23,2.654
508,2019-09-30,2.642
509,2019-10-07,2.645
510,2019-10-14,2.629
511,2019-10-21,2.638
512,2019-10-28,2.596
513,2019-11-04,2.605
514,2019-11-11,2.615
515,2019-11-18,2.592
516,2019-11-25,2.579
517,2019-12-02,2.575
518,2019-12-09,2.561
519,2019-12-16,2.536
520,2019-12-23,2.532
521,2019-12-30,2.571
522,2020-01-06,2.578
523,2020-01-13,2.57
524,2020-01-20,2.537
525,2020-01-27,2.506
526,2020-02-03,2.455
527,2020-02-10,2.419
528,2020-02-17,2.428
529,2020-02-24,2.466
530,2020-03-02,2.423
531,2020-03-09,2.375
532,2020-03-16,2.248
533,2020-03-23,2.12
534,2020-03-30,2.005
535,2020-04-06,1.924
536,2020-04-13,1.853
537,2020-04-20,1.812
538,2020-04-27,1.773
539,2020-05-04,1.789
540,2020-05-11,1.851
541,2020-05-18,1.878
542,2020-05-25,1.96
543,2020-06-01,1.974
544,2020-06-08,2.036
545,2020-06-15,2.098
546,2020-06-22,2.129
547,2020-06-29,2.174
548,2020-07-06,2.177
549,2020-07-13,2.195
550,2020-07-20,2.186
551,2020-07-27,2.175
552,2020-08-03,2.176
553,2020-08-10,2.166
554,2020-08-17,2.166
555,2020-08-24,2.182
556,2020-08-31,2.222
557,2020-09-07,2.211
558,2020-09-14,2.183
559,2020-09-21,2.168
560,2020-09-28,2.169
561,2020-10-05,2.172
562,2020-10-12,2.167
563,2020-10-19,2.15
564,2020-10-26,2.143
565,2020-11-02,2.112
566,2020-11-09,2.096
567,2020-11-16,2.111
568,2020-11-23,2.102
569,2020-11-30,2.12
570,2020-12-07,2.156
571,2020-12-14,2.158
572,2020-12-21,2.224
573,2020-12-28,2.243
574,2021-01-04,2.249
575,2021-01-11,2.317
576,2021-01-18,2.379
577,2021-01-25,2.392
578,2021-02-01,2.409
579,2021-02-08,2.461
580,2021-02-15,2.501
581,2021-02-22,2.633
582,2021-03-01,2.711
583,2021-03-08,2.771
584,2021-03-15,2.853
585,2021-03-22,2.865
586,2021-03-29,2.852
587,2021-04-05,2.857
588,2021-04-12,2.849
589,2021-04-19,2.855
590,2021-04-26,2.872
591,2021-05-03,2.89
592,2021-05-10,2.961
593,2021-05-17,3.028
594,2021-05-24,3.02
595,2021-05-31,3.027
596,2021-06-07,3.035
597,2021-06-14,3.069
598,2021-06-21,3.06
599,2021-06-28,3.091
600,2021-07-05,3.122
601,2021-07-12,3.133
602,2021-07-19,3.153
603,2021-07-26,3.136
604,2021-08-02,3.159
605,2021-08-09,3.172
606,2021-08-16,3.174
607,2021-08-23,3.145
608,2021-08-30,3.139
609,2021-09-06,3.176
610,2021-09-13,3.165
611,2021-09-20,3.184
612,2021-09-27,3.175
613,2021-10-04,3.19
614,2021-10-11,3.267
615,2021-10-18,3.322
616,2021-10-25,3.383
617,2021-11-01,3.39
618,2021-11-08,3.41
619,2021-11-15,3.399
620,2021-11-22,3.395
621,2021-11-29,3.38
622,2021-12-06,3.341
623,2021-12-13,3.315
624,2021-12-20,3.295
625,2021-12-27,3.275
626,2022-01-03,3.281
627,2022-01-10,3.295
628,2022-01-17,3.306
629,2022-01-24,3.323
630,2022-01-31,3.368
631,2022-02-07,3.444
632,2022-02-14,3.487
633,2022-02-21,3.53
634,2022-02-28,3.608
635,2022-03-07,4.102
636,2022-03-14,4.315
637,2022-03-21,4.239
638,2022-03-28,4.231
639,2022-04-04,4.17
640,2022-04-11,4.091
641,2022-04-18,4.066
642,2022-04-25,4.107
643,2022-05-02,4.182
644,2022-05-09,4.328
645,2022-05-16,4.491
646,2022-05-23,4.593
647,2022-05-30,4.624
648,2022-06-06,4.876
649,2022-06-13,5.006
650,2022-06-20,4.962
651,2022-06-27,4.872
652,2022-07-04,4.771
653,2022-07-11,4.646
654,2022-07-18,4.49
655,2022-07-25,4.33
656,2022-08-01,4.192
